uid,pmin_median,pmax_median,pmax_99_perc,pmax_max
COAL_CR 230 4201 COALC1_DC UN,200.0,535.0,535.0,535.0
COAL_CR 230 4201 REC1_DC UN,200.0,535.0,535.0,535.0
TRIMBLE 345 Q345 TCUNIT1 UN,1.0,535.0,535.0,535.0
MUSKOGEE 10 3 4 UN,0.0,530.0,575.0,575.0
MUSKOGEE 10 5 5 UN,0.0,530.0,550.0,550.0
GHENT 345 Q345 GHENT_2 UN,1.0,530.0,530.0,530.0
MUSKOGEE 10 6 6 UN,0.0,530.0,530.0,530.0
SABINE_E 24 4 G4 UN,185.0,530.0,530.0,530.0
SEMINOLE 10 3G 3 UN,0.0,530.0,530.0,530.0
FRONTR 345 UND3 UN3 UN,0.0,530.0,530.0,530.0
SHERCO 26 9909 SHERCO3_NSP UN,162.0,529.0,529.0,529.0
WELSH 345 GN03 3 UN,1.0,528.0,528.0,528.0
WELSH 345 GN01 1 UN,1.0,525.0,525.0,525.0
CROSSRDS 345 RJ1 SAGAMORE_WIND UN,0.0,522.0,522.0,522.0
JOLT_IPP 345 Q345 24UJO-7 UN,0.0,522.0,522.0,522.0
MILL_CRE 345 Q345 MCUNIT4 UN,1.0,516.0,516.0,516.0
GHENT 345 Q345 GHENT_4 UN,1.0,516.0,516.0,516.0
SEMINOLE 10 1G 1 UN,0.0,515.0,515.0,515.0
NORCRO1 500 1 1 UN,1.0,514.0,514.0,514.0
GHENT 138 Q138 GHENT_1 UN,1.0,513.0,513.0,513.0
SIOUX 138 13 1 UN,0.0,511.0,511.0,511.0
SIOUX 18 23 1 UN,0.0,511.0,511.0,511.0
SEMINOLE 10 2G 2 UN,0.0,510.0,510.0,510.0
WILLCO 138 Q138 WC-4 UN,1.0,510.0,510.0,510.0
20SPURLK 345 Q345 20S2 UN,1.0,510.0,510.0,510.0
GHENT 345 Q345 GHENT_3 UN,1.0,505.0,505.0,505.0
HAMMON1 20 4 4 UN,164.0,505.0,505.0,505.0
HERDCNTY 500 UN1 UHRDDYN UN,0.0,500.0,500.0,500.0
TANNERSC 138 Q138 TC4 UN,1.0,500.0,500.0,500.0
GIBSON 345 Q345 UN5 UN,1.0,500.0,501.0,501.0
ORENTDRT 34.5 9002 ORENT_UNIT1 UN,0.0,500.0,500.0,500.0
CHOUT_AE 16 101G CHOUTEAU1 UN,1.0,500.0,500.0,500.0
CRIST1 24 6 6 UN,1.0,500.0,500.0,500.0
YATES1 22 3 3 UN,1.0,500.0,500.0,500.0
BISONMP 230 Q230 BISON1_UNIT UN,0.0,496.6,496.6,496.6
BRANCH1 18 4 4 UN,0.0,496.0,496.0,496.0
PETERSBU 22 QQ22 PE2 UN,1.0,485.0,485.0,800.0
BRANCH1 22 3 3 UN,0.0,478.0,478.0,478.0
TUCO 230 G3 HALE_WIND UN,1.0,478.0,478.0,478.0
BOS_230 22.8 0 BOSWELL_4_MP UN,0.0,476.0,476.0,476.0
G_GULF 21 G1 G1 UN,474.0,474.0,474.0,474.0
SCHAHFER 345 Q345 P15 UN,1.0,472.0,472.0,472.0
WESTON 115 Q11Z EQ_UN_Q115 UN,-132.2,471.0,471.0,471.0
SABINE_E 22 5 G5 UN,55.0,470.0,470.0,470.0
MICHCITY 345 Q345 P12 UN,1.0,469.0,469.0,469.0
NE_COAL 22 GN03 3 UN,1.0,469.0,469.0,469.0
STCHAR 18 C ST UN,0.0,467.5,467.5,467.5
MONTPS 18 STG STG_1C UN,0.0,467.5,1000.0,1000.0
BROWN_NO 138 Q138 BROWN_3 UN,1.0,460.0,460.0,460.0
LKCHAR 18 STG STG_1C UN,0.0,459.8,459.8,459.8
G_GULF 21 G3 G3 UN,418.5,458.6,458.6,458.6
RIVRSIDE 24 GN02 2 UN,1.0,458.0,458.0,458.0
BULLR1 22.4 2 2 UN,0.0,456.0,456.0,456.0
BULLR1 22.4 1 1 UN,0.0,456.0,456.0,456.0
RIVRSIDE 22 GN01 1 UN,1.0,453.0,453.0,453.0
ANTELOP 24 3 ANTELO_1_UNIT UN,1.0,450.0,477.0,477.0
ANTELOP 345 CSL1 ANTELO_2_UNIT UN,1.0,450.0,450.0,450.0
